Model,Location,Year,Km,FuelType,Transmission,Owner,Efficiency,Engine_cc,Power_bhp,Seats,Price_US_Dollars
Ford Figo 2015-2019 1.2P Titanium MT,Hyderabad,2018,"3,678",Gasoline,Manual,First,18.16,1200,86.80,5,"$9,547 "
Hyundai i20 1.2 Spotz,Mumbai,2017,"3,900",Gasoline,Manual,First,18.60,1200,81.83,5,"$9,055 "
Maruti Ignis 1.2 AMT Alpha,Coimbatore,2019,"3,906",Gasoline,Automatic,First,20.89,1200,81.80,5,"$10,333 "
Maruti Celerio VXI,Kochi,2017,"3,923",Gasoline,Manual,First,23.10,1000,67.04,5,"$7,300 "
Hyundai Grand i10 1.2 Kappa Sportz,Mumbai,2018,"3,958",Gasoline,Manual,First,18.90,1200,81.86,5,"$7,792 "
Maruti Alto 800 2016-2019 VXI,Kolkata,2016,"4,000",Gasoline,Manual,First,24.70,800,47.30,5,"$4,212 "
Jeep Compass 1.4 Limited Option,Mumbai,2017,"4,000",Gasoline,Automatic,First,16.00,1400,160.00,5,"$24,919 "
Jaguar XE 2.0L Diesel Prestige,Hyderabad,2017,"4,000",Diesel,Automatic,First,13.60,2000,177.00,5,"$53,348 "
Ford EcoSport 1.5 Ti VCT MT Titanium BE,Mumbai,2017,"4,018",Gasoline,Manual,First,18.88,1400,110.40,5,"$11,582 "
Renault KWID Climber 1.0 MT,Hyderabad,2018,"4,126",Gasoline,Manual,First,21.70,1000,67.00,5,"$6,739 "
Maruti Baleno Zeta Automatic,Jaipur,2018,"4,131",Gasoline,Automatic,First,21.40,1200,83.10,5,"$10,880 "
Renault KWID RXT,Jaipur,2016,"4,152",Gasoline,Manual,First,25.17,800,53.30,5,"$4,422 "
Tata Nano Lx BSIV,Kochi,2012,"4,187",Gasoline,Manual,First,26.00,600,35.00,4,"$1,937 "
Ford Figo 1.5D Trend MT,Kolkata,2015,"4,311",Diesel,Manual,First,25.83,1400,99.00,5,"$6,739 "
Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2018,"4,500",Gasoline,Manual,First,18.90,1200,81.86,5,"$6,739 "
Honda City i-VTEC CVT VX,Pune,2018,"4,500",Gasoline,Automatic,First,18.00,1400,117.30,5,"$17,549 "
Tata Nano LX,Pune,2013,"4,700",Gasoline,Manual,First,25.40,600,37.48,4,"$1,685 "
Renault KWID RXT,Pune,2017,"4,700",Gasoline,Manual,First,25.17,800,53.30,5,"$4,212 "
Maruti Omni 5 Seater BSIV,Coimbatore,2019,"4,721",Gasoline,Manual,First,14.00,800,35.00,5,"$5,770 "
Maruti Wagon R LXI Optional,Kolkata,2016,"4,800",Gasoline,Manual,First,20.51,1000,67.04,5,"$5,054 "
Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Kolkata,2018,"4,900",Diesel,Manual,First,21.50,1400,108.50,5,"$12,944 "
Renault KWID RXT Optional,Pune,2018,"5,000",Gasoline,Manual,First,25.17,800,53.30,5,"$4,914 "
Hyundai i20 1.2 Asta,Jaipur,2018,"5,000",Gasoline,Manual,First,18.60,1200,81.83,5,"$9,125 "
Hyundai i20 1.2 Spotz,Chennai,2017,"5,000",Gasoline,Manual,First,18.60,1200,81.83,5,"$9,757 "
Hyundai Verna VTVT 1.6 SX,Kolkata,2018,"5,000",Gasoline,Manual,First,17.00,1600,121.30,5,"$12,214 "
Honda City i VTEC V,Mumbai,2018,"5,000",Gasoline,Manual,First,17.80,1400,117.30,5,"$14,193 "
Toyota Corolla Altis 1.8 VL CVT,Kolkata,2018,"5,000",Gasoline,Automatic,First,14.28,1800,138.03,5,"$23,796 "
Tata Nano XTA,Coimbatore,2016,"5,240",Gasoline,Automatic,First,21.90,600,37.48,4,"$5,054 "
Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,2018,"5,354",Gasoline,Automatic,First,18.90,1200,81.86,5,"$9,490 "
Honda City V MT Exclusive,Kochi,2019,"5,377",Gasoline,Manual,First,16.80,1400,116.30,5,"$16,075 "
Tata Tiago 1.2 Revotron XM Option,Chennai,2016,"5,400",Gasoline,Manual,First,23.84,1200,84.00,5,"$5,588 "
Maruti Swift DDiS ZDI Plus,Hyderabad,2018,"5,456",Diesel,Manual,First,28.40,1200,74.00,5,"$12,144 "
Maruti Alto K10 VXI AGS,Chennai,2017,"5,500",Gasoline,Automatic,First,24.07,1000,67.10,5,"$5,967 "
Maruti Ciaz Zeta,Mumbai,2017,"5,500",Gasoline,Manual,First,21.56,1400,103.25,5,"$11,512 "
Maruti Alto 800 2016-2019 LXI,Chennai,2016,"5,700",Gasoline,Manual,First,24.70,800,47.30,5,"$3,931 "
Skoda Rapid 1.5 TDI Ambition,Coimbatore,2018,"5,833",Diesel,Manual,First,21.13,1400,108.40,5,"$16,735 "
Hyundai Accent GLE,Pune,2005,"5,834",Gasoline,Manual,First,13.20,1400,94.00,5,"$1,123 "
Toyota Corolla Altis D-4D GL,Mumbai,2017,"5,900",Diesel,Manual,First,21.43,1400,87.20,5,"$23,164 "
BMW 6 Series 630i Coupe,Mumbai,2011,"5,900",Gasoline,Automatic,First,7.94,4000,450.00,4,"$66,685 "
Datsun GO NXT,Kolkata,2016,"6,000",Gasoline,Manual,First,20.63,1200,67.06,5,"$3,510 "
Datsun GO NXT,Kolkata,2016,"6,000",Gasoline,Manual,First,20.63,1200,67.06,5,"$3,791 "
Hyundai i20 Sportz 1.2,Mumbai,2016,"6,000",Gasoline,Manual,First,18.60,1200,81.83,5,"$8,353 "
Honda Amaze V Petrol,Jaipur,2018,"6,000",Gasoline,Manual,First,19.50,1200,86.76,5,"$9,406 "
Hyundai i20 Active 1.2 SX Dual Tone,Pune,2016,"6,000",Gasoline,Manual,First,17.19,1200,81.86,5,"$10,178 "
Maruti Baleno Alpha,Mumbai,2017,"6,000",Gasoline,Manual,First,21.40,1200,83.10,5,"$10,529 "
Mercedes-Benz GLS 350d Grand Edition,Delhi,2018,"6,000",Diesel,Automatic,First,11.00,3000,258.00,7,"$110,908 "
Maruti Ciaz 1.4 Delta,Ahmedabad,2017,"6,006",Gasoline,Manual,First,20.73,1400,91.10,5,"$11,582 "
Hyundai Verna 1.6 SX VTVT,Coimbatore,2019,"6,028",Gasoline,Manual,First,17.01,1600,121.30,5,"$16,201 "
Jeep Compass 2.0 Limited 4X4,Coimbatore,2019,"6,261",Diesel,Manual,First,16.30,2000,170.00,5,"$33,567 "
Datsun redi-GO T Option,Kochi,2018,"6,279",Gasoline,Manual,First,22.70,800,53.64,5,"$5,054 "
Lamborghini Gallardo Coupe,Delhi,2011,"6,500",Gasoline,Automatic,Third,6.40,5000,560.00,2,"$168,468 "
Renault KWID RXT Optional,Kochi,2019,"6,568",Gasoline,Manual,First,25.17,800,53.30,5,"$7,146 "
Honda Amaze S i-Vtech,Jaipur,2016,"6,714",Gasoline,Manual,First,18.00,1200,86.70,5,"$6,669 "
Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,"6,773",Diesel,Automatic,First,14.75,3000,245.00,7,"$102,401 "
Hyundai i20 2015-2017 Asta 1.2,Pune,2016,"6,800",Gasoline,Manual,First,18.60,1200,81.83,5,"$10,108 "
Hyundai Elite i20 Diesel Asta Option,Kolkata,2018,"6,820",Diesel,Manual,First,22.54,1400,88.76,5,"$10,740 "
Maruti Alto K10 LXI Optional,Pune,2016,"7,000",Gasoline,Manual,First,24.07,1000,67.10,5,"$4,212 "
Hyundai i10 Sportz,Kolkata,2016,"7,000",Gasoline,Manual,First,20.36,1200,78.90,5,"$5,054 "
Renault Scala RxL AT,Mumbai,2013,"7,000",Gasoline,Automatic,First,17.97,1400,99.60,5,"$5,124 "
Volkswagen Polo 1.2 MPI Highline,Mumbai,2014,"7,000",Gasoline,Manual,First,16.47,1200,74.00,5,"$7,511 "
Maruti Ignis 1.2 Alpha,Mumbai,2017,"7,000",Gasoline,Manual,First,20.89,1200,81.80,5,"$8,002 "
Ford EcoSport 1.5 Ti VCT MT Titanium BE,Mumbai,2016,"7,000",Gasoline,Manual,First,18.88,1400,110.40,5,"$9,687 "
BMW 3 Series 320i Sedan,Kolkata,2011,"7,000",Gasoline,Automatic,First,12.05,2000,154.00,5,"$13,688 "
Jeep Compass 2.0 Limited Option Black,Mumbai,2017,"7,000",Diesel,Manual,First,17.10,2000,170.00,5,"$24,498 "
BMW X1 xDrive 20d xLine,Mumbai,2016,"7,000",Diesel,Automatic,First,20.68,2000,190.00,5,"$38,958 "
Audi TT 40 TFSI,Kolkata,2012,"7,000",Gasoline,Automatic,First,14.33,2000,226.60,4,"$49,137 "
BMW 5 Series 2013-2017 520d M Sport,Pune,2018,"7,000",Diesel,Automatic,First,18.12,2000,190.00,5,"$64,580 "
Maruti Celerio VXI AT,Mumbai,2016,"7,100",Gasoline,Automatic,First,23.10,1000,67.04,5,"$6,107 "
Hyundai i10 Sportz 1.1L,Kolkata,2016,"7,200",Gasoline,Manual,First,19.81,1000,68.05,5,"$5,040 "
Hyundai Xcent 1.2 Kappa S,Mumbai,2014,"7,400",Gasoline,Manual,First,19.10,1200,82.00,5,"$6,107 "
Tata Zest Revotron 1.2 XT,Kolkata,2015,"7,445",Gasoline,Manual,First,17.57,1200,88.70,5,"$7,020 "
Maruti Celerio VXI Optional AMT,Pune,2017,"7,500",Gasoline,Automatic,First,23.10,1000,67.04,5,"$7,020 "
Honda City i-VTEC VX,Mumbai,2017,"7,500",Gasoline,Manual,First,17.40,1400,117.30,5,"$15,654 "
Mercedes-Benz E-Class E400 Cabriolet,Kolkata,2015,"7,501",Gasoline,Automatic,First,10.00,3000,333.00,4,"$67,387 "
Volkswagen Polo 1.2 MPI Highline,Mumbai,2016,"7,523",Gasoline,Manual,First,16.20,1200,74.00,5,"$8,634 "
Maruti Ciaz 1.4 Delta,Coimbatore,2018,"7,784",Gasoline,Manual,First,20.73,1400,91.10,5,"$12,298 "
Renault KWID RXL,Kochi,2019,"7,858",Gasoline,Manual,First,25.17,800,53.30,5,"$5,335 "
Maruti Wagon R LXI BS IV,Kolkata,2017,"8,000",Gasoline,Manual,First,20.51,1000,67.04,5,"$4,212 "
Nissan Sunny 2011-2014 XV,Pune,2013,"8,000",Gasoline,Manual,First,16.95,1400,97.70,5,"$5,265 "
Maruti Wagon R VXI AMT,Mumbai,2016,"8,000",Gasoline,Automatic,First,22.50,1000,67.00,5,"$5,826 "
Hyundai i20 Sportz 1.2,Chennai,2017,"8,000",Gasoline,Manual,First,18.60,1200,81.83,5,"$9,476 "
Hyundai i20 1.2 Asta Option,Jaipur,2017,"8,000",Gasoline,Manual,First,18.60,1200,81.83,5,"$10,529 "
Honda Jazz VX,Chennai,2017,"8,000",Gasoline,Manual,First,18.20,1200,88.70,5,"$11,091 "
Honda City i VTEC CVT SV,Mumbai,2016,"8,000",Gasoline,Automatic,First,18.00,1400,117.30,5,"$13,267 "
Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2018,"8,000",Gasoline,Automatic,First,17.00,1600,121.30,5,"$18,040 "
Mercedes-Benz A Class A180 CDI,Bangalore,2014,"8,000",Diesel,Automatic,Second,20.00,2200,107.30,5,"$27,727 "
BMW 3 Series 320d GT Luxury Line,Mumbai,2017,"8,000",Diesel,Automatic,First,19.59,2000,187.74,5,"$47,382 "
Jaguar F Type 5.0 V8 S,Hyderabad,2015,"8,000",Gasoline,Automatic,First,12.50,5000,488.10,2,"$140,390 "
Maruti Dzire AMT ZXI Plus,Coimbatore,2019,"8,018",Gasoline,Automatic,First,22.00,1200,81.80,5,"$11,652 "
Tata Indica V2 eLX,Pune,2017,"8,200",Diesel,Manual,First,25.00,1400,69.00,5,"$6,177 "
Hyundai EON Era,Kochi,2017,"8,243",Gasoline,Manual,First,21.10,800,55.20,5,"$4,507 "
Mini Clubman Cooper S,Pune,2017,"8,350",Gasoline,Manual,First,13.80,2000,192.00,5,"$49,137 "
Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,"8,471",Gasoline,Manual,First,18.90,1200,81.86,5,"$7,020 "
Hyundai EON Era Plus,Jaipur,2017,"8,500",Gasoline,Manual,First,21.10,800,55.20,5,"$4,801 "
Maruti Wagon R AMT VXI,Mumbai,2016,"8,500",Gasoline,Automatic,First,20.51,1000,67.00,5,"$5,924 "
Hyundai Grand i10 Sportz,Mumbai,2017,"8,500",Gasoline,Manual,Second,18.90,1200,82.00,5,"$6,739 "
Maruti Baleno Sigma 1.2,Mumbai,2016,"8,500",Gasoline,Manual,First,21.40,1200,83.10,5,"$7,707 "
Mini Countryman Cooper D,Jaipur,2017,"8,525",Diesel,Automatic,Second,16.60,2000,112.00,5,"$32,290 "
Renault KWID RXT,Mumbai,2016,"8,554",Gasoline,Manual,First,25.17,800,53.30,5,"$4,492 "
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Kochi,2019,"8,587",Gasoline,Manual,First,15.29,1600,121.30,5,"$19,037 "
Chevrolet Beat LT,Pune,2014,"8,700",Gasoline,Manual,First,18.60,1200,76.80,5,"$3,580 "
Ford Freestyle Titanium Plus Petrol,Kolkata,2018,"8,896",Gasoline,Manual,First,19.00,1200,94.68,5,"$10,305 "
Toyota Innova Crysta 2.4 VX MT,Kochi,2018,"8,899",Diesel,Manual,First,13.68,2400,147.80,7,"$27,966 "
Mitsubishi Pajero Sport 4X4 AT,Bangalore,2018,"8,900",Diesel,Automatic,First,13.50,2400,175.56,6,"$37,203 "
Toyota Etios Liva V,Mumbai,2013,"8,950",Gasoline,Manual,First,17.71,1200,78.90,5,"$4,984 "
Maruti Wagon R AMT VXI,Mumbai,2016,"9,000",Gasoline,Automatic,First,20.51,1000,67.00,5,"$5,967 "
Hyundai Grand i10 Magna AT,Mumbai,2016,"9,000",Gasoline,Automatic,First,18.90,1200,82.00,5,"$7,651 "
Hyundai Verna 1.6 SX VTVT,Mumbai,2014,"9,000",Gasoline,Manual,Second,17.01,1600,121.30,5,"$7,721 "
Honda Amaze VX O i VTEC,Mumbai,2016,"9,000",Gasoline,Manual,First,18.00,1200,86.70,5,"$8,072 "
Hyundai i20 1.2 Asta,Delhi,2017,"9,000",Gasoline,Manual,First,18.60,1200,81.83,5,"$9,617 "
Honda BR-V i-VTEC S MT,Pune,2017,"9,000",Gasoline,Manual,First,15.40,1400,117.30,7,"$11,933 "
Mahindra XUV500 W7,Delhi,2018,"9,000",Diesel,Manual,First,14.00,2200,155.00,7,"$18,251 "
Ford Endeavour 2.2 Titanium AT 4X2,Chennai,2019,"9,000",Diesel,Automatic,First,12.62,2200,158.00,7,"$46,188 "
Jaguar XE Portfolio,Mumbai,2017,"9,000",Gasoline,Automatic,First,13.50,2000,246.74,5,"$48,435 "
Ford Endeavour 3.2 Titanium AT 4X4,Chennai,2019,"9,000",Diesel,Automatic,First,10.91,3000,197.00,7,"$49,839 "
Maruti Swift VXI BSIV,Mumbai,2016,"9,107",Gasoline,Manual,First,20.40,1200,81.80,5,"$7,230 "
Hyundai Verna 1.6 SX VTVT,Mumbai,2014,"9,200",Gasoline,Manual,First,17.01,1600,121.30,5,"$8,072 "
Honda BRV i-VTEC V MT,Pune,2016,"9,200",Gasoline,Manual,First,15.40,1400,117.30,7,"$11,231 "
Mercedes-Benz E-Class E 350 d,Coimbatore,2019,"9,312",Diesel,Automatic,First,18.00,3000,258.00,5,"$110,628 "
Maruti Alto 800 LXI,Hyderabad,2016,"9,370",Gasoline,Manual,First,22.74,800,47.30,5,"$4,142 "
Hyundai Grand i10 1.2 Kappa Sportz,Delhi,2018,"9,434",Gasoline,Manual,First,18.90,1200,81.86,5,"$8,072 "
Hyundai i10 Magna 1.2 iTech SE,Mumbai,2011,"9,489",Gasoline,Manual,First,20.36,1200,78.90,5,"$4,142 "
Chevrolet Sail Hatchback 1.2 LS,Kolkata,2014,"9,500",Gasoline,Manual,First,18.20,1200,82.50,5,"$4,914 "
Hyundai Elantra 2.0 SX Option AT,Delhi,2017,"9,500",Gasoline,Automatic,First,14.62,2000,149.92,5,"$22,954 "
Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,"9,565",Gasoline,Manual,First,23.84,1200,84.00,5,"$8,255 "
Hyundai EON 1.0 Kappa Magna Plus Optional,Kolkata,2014,"9,759",Gasoline,Manual,First,20.30,1000,68.05,5,"$3,861 "
Hyundai Creta 1.6 SX,Hyderabad,2018,"9,900",Gasoline,Manual,First,15.80,1600,121.30,5,"$18,532 "
BMW Z4 2009-2013 Roadster 2.5i,Kochi,2018,"9,952",Gasoline,Automatic,First,10.37,3000,306.00,2,"$82,184 "
Maruti Alto K10 VXI,Hyderabad,2016,"10,000",Gasoline,Manual,First,24.07,1000,67.10,5,"$4,914 "
Tata Bolt Revotron XT,Chennai,2016,"10,000",Gasoline,Manual,First,17.57,1200,88.70,5,"$5,616 "
Maruti Wagon R VXI Plus,Kolkata,2018,"10,000",Gasoline,Manual,First,20.51,1000,67.04,5,"$6,318 "
Chevrolet Sail 1.2 LS,Mumbai,2014,"10,000",Gasoline,Manual,First,18.20,1200,82.40,5,"$7,721 "
Hyundai Grand i10 1.2 Kappa Sportz,Jaipur,2018,"10,000",Gasoline,Manual,First,18.90,1200,81.86,5,"$8,213 "
Hyundai i20 2015-2017 Sportz 1.2,Pune,2017,"10,000",Gasoline,Manual,First,18.60,1200,81.83,5,"$9,125 "
Hyundai Grand i10 1.2 Kappa Asta,Delhi,2018,"10,000",Gasoline,Manual,First,18.90,1200,81.86,5,"$9,125 "
Mercedes-Benz GLA Class 200 d Sport,Mumbai,2018,"10,000",Diesel,Automatic,First,17.90,2200,136.00,5,"$40,573 "
BMW 3 Series 320d Sport Line,Hyderabad,2015,"10,000",Diesel,Automatic,First,18.88,2000,184.00,5,"$42,117 "
Mercedes-Benz New C-Class C 220 CDI Style,Hyderabad,2017,"10,000",Diesel,Automatic,First,19.27,2200,167.62,5,"$50,541 "
Jaguar XF 2.2 Litre Executive,Delhi,2016,"10,000",Diesel,Automatic,First,16.36,2200,187.70,5,"$61,772 "
Mercedes-Benz SLK-Class SLK 350,Bangalore,2015,"10,000",Gasoline,Automatic,First,18.10,3000,306.00,2,"$77,215 "
Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,"10,003",Diesel,Automatic,First,17.90,2200,170.00,5,"$68,089 "
Hyundai Xcent 1.2 Kappa SX,Mumbai,2016,"10,200",Gasoline,Manual,First,19.10,1200,82.00,5,"$7,005 "
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,"10,250",Diesel,Manual,First,22.00,1600,126.20,5,"$15,373 "
Maruti Baleno Zeta 1.2,Delhi,2017,"10,300",Gasoline,Manual,First,21.40,1200,83.10,5,"$9,476 "
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,"10,393",Gasoline,Manual,First,18.90,1200,81.86,5,"$8,466 "
Honda City i-VTEC S,Mumbai,2015,"10,400",Gasoline,Manual,First,17.40,1400,117.30,5,"$9,139 "
Mahindra KUV 100 mFALCON D75 K4 Plus 5str,Kolkata,2017,"10,500",Diesel,Manual,First,25.32,1200,77.00,5,"$6,598 "
Honda City i VTEC SV,Mumbai,2014,"10,500",Gasoline,Manual,First,17.40,1400,117.30,5,"$8,283 "
Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,2017,"10,500",Gasoline,Automatic,First,14.30,1600,103.52,5,"$12,495 "
Jaguar XJ 2.0L Portfolio,Mumbai,2017,"10,501",Gasoline,Automatic,First,9.43,2000,237.40,5,"$105,293 "
Porsche Boxster S tiptronic,Kolkata,2015,"10,512",Gasoline,Automatic,First,8.60,2800,265.00,2,"$89,850 "
Maruti Ciaz Zeta,Kochi,2018,"10,575",Gasoline,Manual,First,21.56,1400,103.25,5,"$12,888 "
Maruti Alto 800 2016-2019 CNG LXI,Mumbai,2018,"10,600",CNG,Manual,First,33.44,800,40.30,4,"$4,914 "
Toyota Innova Crysta 2.8 GX AT,Kochi,2019,"10,601",Diesel,Automatic,First,11.36,2800,171.50,7,"$27,587 "
Maruti Swift Dzire VXI,Kochi,2018,"10,671",Gasoline,Manual,First,20.85,1200,83.14,5,"$9,139 "
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,"10,714",Diesel,Automatic,First,19.27,2200,167.62,5,"$55,468 "
Hyundai Grand i10 Sportz,Mumbai,2016,"10,770",Gasoline,Manual,First,18.90,1200,82.00,5,"$6,669 "
Chevrolet Spark 1.0 LT,Kolkata,2012,"11,000",Gasoline,Manual,First,16.20,1000,62.10,5,"$1,965 "
Maruti Alto VXi,Bangalore,2011,"11,000",Gasoline,Manual,Third,18.90,800,47.00,5,"$4,071 "
Maruti Alto 800 2016-2019 LXI,Mumbai,2018,"11,000",Gasoline,Manual,First,24.70,800,47.30,5,"$4,703 "
Honda Brio S MT,Ahmedabad,2013,"11,000",Gasoline,Manual,First,19.40,1200,86.80,5,"$5,475 "
Maruti Ritz LXi,Mumbai,2016,"11,000",Gasoline,Manual,First,18.50,1200,85.80,5,"$5,545 "
